pname,cname,effect,dosage,dprecaution,interaction,side_effect,storage
계안겔(수출용),동아제약(주),"이 약은 습진, 피부염, 땀띠, 옻 등에 의한 피부염, 가려움, 벌레물림, 두드러기, 동창에 사용합니다.",1일 수회 환부에 적당량을 적용합니다.,"30개월 이하의 유아, 눈 또는 눈 주위, 점막, 습진, 상처부위, 민감한 피부에는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 약 또는 화장품에 알레르기 증상(발진, 발적, 가려움, 옻 등에 의한 피부염 등) 경험자, 알레르기 체질, 습윤이나 짓무름, 염증이 심한 환자, 소아는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.5~6일간 사용하여도 증상의 개선이 없을 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.이 약은 외용으로만 사용하고 내복 또는 흡입하지 마십시오.눈에 들어가지 않도록 주의하고, 만일 눈에 들어간 경우에는 즉시 물로 씻어내십시오.",,"발진, 발적, 가려움, 부종, 땀띠염증, 건조감, 자극감, 열감, 따끔따끔한 감각 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
바토루스캡슐(바실루스리케니포르미스균),한국프라임제약(주),"이 약은 급ㆍ만성장염, 급ㆍ만성설사, 급성이질, 각종원인에 기인한 장내 이상발효에 사용합니다.
","성인은 1회 2캡슐씩, 1일 3회 복용합니다. 첫 회에는 4캡슐을 복용하십시오.

어린이는 1회 1캡슐씩, 1일 3회 복용합니다.

유아의 경우 캡슐 내용물을 소량의 물이나 우유에 타서 복용할 수 있습니다.
","갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 3개월 미만의 영아는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.
","시프로플록사신, 이미페넴, 실라스타틴나트륨과 함께 사용 시 의사 또는 약사와 상의하십시오.
",,"습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
바레톡크림(나프티핀염산염),일양바이오팜(주),"이 약은 백선(족부백선, 수부백선, 고부백선(완선), 체부백선), 피부칸디다증, 어루러기, 조갑(손톱, 발톱) 진균증에 사용합니다.
","피부진균증에 사용하는 경우 1일 1회(가능하면 취침시) 환부를 깨끗이 닦고 완전히 건조시킨 후 환부 및 그 주위의 피부에 얇게 바르고 부드럽게 문지르십시오.

조갑(손톱, 발톱) 진균증에 사용하는 경우 손톱, 발톱을 짧게 깎고, 1일 1회(가능하면 취침시) 또는 필요에 따라 1일 2회(아침, 저녁) 얇게 바릅니다. 재발 방지를 위해 모든 증상이 소실된 후에도 약 2주간 더 사용합니다.
","이 약에 과민증 환자는 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 프로필렌글리콜에 과민증 환자 또는 경험자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 소아는 의사 또는 약사와 상의하십시오.

이 약은 외용으로만 사용하십시오.

급성염증 또는 노출된 상처 부위에는 사용하지 마십시오.

눈, 코, 입 및 다른 점막에 닿지 않도록 주의하십시오.

의사의 지시가 없는 한 밀봉붕대법 또는 포장법을 사용하지 마십시오.

칸디다증일 경우에 산성 비누를 사용하지 마십시오.
","다른 국소 적용 약물과 함께 사용 시 의사 또는 약사와 상의하십시오.
","자극 또는 민감성 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

드물게 작열감, 찔린 상처, 건조감, 홍반, 가려움, 국소자극 등이 나타날 수 있습니다.
","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
일양바이오알벤다졸정,일양바이오팜(주),"이 약은 회충, 요충, 십이지장충, 편충, 아메리카 구충, 분선충의 감염 및 이들 혼합감염의 치료에 사용합니다.","성인 및 24개월 이상의 소아는 요충에 1일 1회 1정(400 mg)을 복용합니다. 박멸을 위하여 7일 뒤, 한번만 더 1정(400 mg)을 복용합니다.회충, 십이지장충, 편충, 아메리카구충에 1회 1정(400 mg)을 단회 복용합니다.분선충의 다른 기생충(조충)과 중증 혼합 감염시에 1일 1회 1정(400 mg) 씩 3일간 복용합니다.삼키기 어려울 경우 씹거나 소량의 물로 복용할 수 있으며 식사를 중단하거나 하제를 쓰는 등의 특별한 과정은 필요하지 않습니다.치료 3주 후 검사를 하여 치료되지 않았으면 경우에 따라 2차 투여를 실시할 수 있습니다.","이 약에 과민증 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 2세 미만의 소아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 간장애, 신장애(신장장애), 황색5호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.이 약 복용 전에는 반드시 임신 중이 아님을 확인하십시오.임상검사치에의 영향 즉 때때로 회복 가능한 백혈구 수의 감소, 경증 내지 중등도의 간효소치가 증가할 수 있습니다.","이 약을 복용하는 동안 테오필린, 시메티딘, 프라지콴텔, 덱사메타손, 리토나비르, 페니토인, 카르바마제핀, 페노바르비탈을 함께 복용하지 마십시오.","피부점막안증후군(스티븐스-존슨증후군), 다형홍반(여러 모양의 붉은 반점), 구역, 구토, 속쓰림, 설사, 상복부 또는 복부(배부분) 통증 등의 위장관 장애 또는 두통 및 어지럼, 드물게 발열, 전신 발적(충혈되어 붉어짐), 발진, 가려움, 두드러기 등의 과민반응, 가역적인(회복 가능한) 탈모증 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
레이디원연질캡슐,제일헬스사이언스(주),"이 약은 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삔 통증), 생리통, 외상(상처)통의 진통과 오한, 발열시의 해열에 사용합니다.
","만 15세 이상 또는 성인은 1회 1캡슐씩, 1일 1~3회 공복(빈 속)을 피하여 복용하며 복용간격은 4시간 이상으로 합니다.
","이 약에 과민증 환자, 다른 해열진통제 또는 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 알레르기 체질, 약에 의해 알레르기 증상(예: 발열, 발진, 관절통, 천식, 가려움증 등) 경험자, 간장, 신장(콩팥), 갑상선 질환, 당뇨병, 고혈압, 몸이 약한 사람 또는 고열이 있는 사람, 고령자, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈문제를 가지고 있는 사람, 구토와 설사로 많은 수분을 손실 하거나 수분을 흡수하지 않는 사람, 만 2세 미만 소아는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

5~6회 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","다른 해열진통제, 감기약, 진정제와 함께 복용하지 마십시오.

당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 이뇨제와 함께 복용 시 의사 또는 약사와 상의하십시오.

복용 중에는 음주하지 마십시오.
","발진·발적(충혈되어 붉어짐), 가려움, 구역·구토, 식욕부진, 변비, 위통, 소화관출혈, 위부(상복부)불쾌감, 어지러움, 부기, 쇽 증상(복용후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(고열을 동반하고 발진·발적, 화상과 같이 물집이 생기는 등의 심한 증상이 전신피부, 입이나 눈점막에 나타남), 천식,  매우 드물게 다형성 홍반, 탈락 피부염, 빈도불명의 전신증상과 호산구 증가증을 동반한 약물 반응(DRESS 증후군) 및 급성전신발진고름물집증 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
비타월드정,(주)아이월드제약,"이 약은 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시 비타민 B6 의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용합니다.","만 8세 이상 및 성인은 1회 1정씩, 1일 2회 복용합니다.","이 약에 과민증 환자, 만 3개월 미만의 젖먹이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 만 1세 미만의 젖먹이, 폴산이 부족한 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.",레보도파와 함께 복용하지 마십시오.,,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
파워콜노즈연질캡슐,동화약품(주),"이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.
","만 15세 이상은 1회 1캡슐씩, 1일 3회 식후 30분에 복용합니다.
","이 약에 과민증 및 경험자, 다른 해열진통제, 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 만 3개월 이상 및 만 2세 미만의 영아, 유아, 알레르기 체질, 알레르기 증상(예: 발열, 발진, 관절통, 천식, 가려움증 등)경험자, 간장, 신장(콩팥), 심장, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(예: 눈의 통증, 눈이 침침함 등), 배뇨(소변을 눔)곤란 등이 있는 사람, 고령자, 몸이 약한 사람 또는 고열이 있는 사람, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈문제를 가지고 있는 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열ㆍ발진이나 지속적인 두통이 동반되는 기침이 있는 사람은 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

복용 중에는 음주하지 마십시오.

장기간 계속하여 복용하지 마십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.

5~6회 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","아세트아미노펜을 포함하는 다른 제품, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 진해(기침을 그치게 함)거담제(가래약), 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오.

당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제 및 알코올을 투여한 환자는 의사 또는 약사와 상의하십시오.
","발진·발적(충혈되어 붉어짐), 가려움, 구역·구토, 식욕부진, 변비, 부종(부기), 배뇨(소변을 눔)곤란, 목마름(지속적이거나 심한), 어지러움, 불안, 떨림, 불면, 쇽(복용후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 중독성표피괴사용해(리엘증후군: 고열을 동반하고, 발진·발적(충혈되어 붉어짐), 화상과 같이 물집이 생기는 등의 심한 증상), 천식, 전신의 나른함, 황달(피부 또는 눈의 흰자위가 황색을 띄게 됨), 간질성폐렴(기침을 동반하고, 숨이 차고, 호흡곤란, 발열) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
써버쿨플라스타,진양제약(주),"이 약은 벌레물린데, 가려움, 동창(언 상처)에 사용합니다.","1일 1~ 수회(여러 차례), 1회 1매씩 환부(질환부위)에 붙입니다.","이 약에 과민증 환자, 30개월 이하의 소아, 눈 또는 눈 주위, 점막 등, 습진, 옻 등에 의한 피부염, 상처 부위, 민감한 피부에는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 약이나 화장품 등에 의한 알레르기 증상이 나타난 적이 있는 사람, 알레르기 체질인 환자, 습윤이나 짓무름, 염증이 심한 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.이 약은 외용으로만 사용하고 내복 또는 흡입하지 마십시오.눈에 들어가지 않도록 주의하고 만일 눈에 들어간 경우 즉시 물로 씻어내십시오.적용부위를 싸거나 감지 않고, 외부의 열이나 뜨거운 물에 노출하지 마십시오.이 약을 사용한 부위에 물이 닿은 경우, 강한 자극을 느낄 수 있습니다.피부가 특히 약한 환자는 동일한 부위에 이 약을 연속적으로 사용하지 마십시오.1회 부착 시간은 4~5시간 정도로 하며 같은 부위에 장시간 사용하지 마십시오.환부가 땀 등으로 젖어 있을 때는 잘 닦아내고 나서 사용하십시오.5~6일간 사용하여도 증상의 개선이 없을 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",,"이 약의 사용으로 인해 발진·발적, 종창, 가려움, 통증, 부종 등의 증상이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
더블엑스투카타플라스마,(주)시어스제약,"이 약은 타박상, 삠, 요(허리)통, 어깨결림, 근육통, 관절통의 진통 ㆍ 소염(항염)에 사용합니다.
","약면의 박리지(벗겨내기)를 벗기고 1일 1~3회 환부(질환 부위)에 붙입니다.
","30개월 이하의 유아, 습진, 옻 등에 의한 피부염, 상처 부위에 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 이 약 또는 화장품에 과민증 환자, 알레르기 체질, 습윤(습기 참)이나 미란(짓무름)이 심한 환자, 소아, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

질환 부위를 회로나 전기모포 등으로 따뜻하게 하지 마십시오.

이 약은 외용으로만 사용하십시오.

5~6회 정도 투여하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
",,"발진ㆍ발적, 가려움, 통증 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
뮤트린캡슐200밀리그램(아세틸시스테인),에이치엘비제약(주),"이 약은 급ㆍ만성기관지염, 기관지천식, 후두염, 부비동염, 낭성섬유증의 질환에서 객담배출곤란에 사용합니다.","급성질환에 성인은 1회 1캡슐(200 mg)씩, 1일 3회, 6~14세는 1회 1캡슐(200 mg)씩, 1일 2회 식전에 소량의 물과 함께 복용합니다.만성질환에 성인은 1회 1캡슐(200 mg)씩, 1일 2회, 6~14세는 1회  1/2 캡슐(100 mg)씩, 1일 3회 식전에 소량의 물과 함께 복용합니다.낭성섬유증에 6세 이상은 1회 1캡슐(200 mg)씩, 1일 3회 식전에 소량의 물과 함께 복용합니다.","이 약에 과민증 환자, 위•십이지장궤양, 2세 미만 영아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상담하십시오.","경구용 항생제(아목시실린, 세푸록심, 독시사이클린, 에리트로마이신, 티암페니콜)와 함께 복용 시 적어도 2시간 간격을 두고 복용하십시오.","드물게 구역, 구토, 구내염, 가슴쓰림, 설사, 두드러기, 가려움, 발진, 두통, 이명, 기관지경련(특히 천식 환자), 빈맥, 고혈압 등이 나타나는 경우 즉각 복용을 중지하고 의사 또는 약사와 상담하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
다나큐아크림,광동제약(주),"이 약은 고령자의 건피증, 성인의 거친 피부, 발뒤꿈치 및 복사뼈 부위의 각화증에 사용합니다.",환부를 씻은 다음 1일 1회~수회 적당량을 바릅니다.,"15세 미만의 소아는 이 약을 사용하지 마십시오.얼굴, 눈 주위, 점막, 긁힌 상처 등의 흠집, 균열 부위, 부스럼 딱지 같이 피부가 떨어져 나간 곳, 염증부위(짓무름, 빨갛게 부어오른 곳)에 사용하지 마십시오.이 약을 사용하기 전에 약 또는 화장품에 과민증 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.눈에 들어가지 않도록 주의하고, 만일 눈에 들어간 경우에는 즉시 물로 씻어내십시오.이 약은 외용으로만 사용하십시오.이 약이 묻은 손으로 눈 등의 점막에 접촉하지 마십시오.기초화장품 등의 목적으로 얼굴에 사용하지 마십시오.",,"피부의 발진, 발적, 가려움, 자극감(통증, 발열, 따가움), 부스럼 딱지 같이 피부가 벗겨지는 상태 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
휴펜텍카타플라스마(록소프로펜나트륨수화물),(주)시어스제약,"이 약은 퇴행성관절염(골관절염), 근육통, 외상후의 종창, 통증의 진통ㆍ소염에 사용합니다.",1일 1회 1매 환부에 부착합니다.,"이 약에 과민증 환자, 아스피린 천식(비스테로이드소염진통제 등에 의한 천식발작)환자 또는 경험자, 눈 및 점막, 손상된 피부 및 점막, 습진 또는 발진 부위, 무좀, 백선 등에는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 기관지천식 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 소아, 고령자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.밀봉붕대요법을 사용하지 마십시오.",,"가려움, 홍반, 접촉피부염, 피부발진, 피하출혈, 피부자극, 색소침착, 물집, 종창, 배가 거북함, 상복부 통증, 설사·묽은 변, ALT 상승, AST 상승, γ-GTP 상승, 부종, 쇼크 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
노이텍정,아이큐어(주),"이 약은 이명증에 사용합니다.
","성인 및 만 15세 이상 청소년은 1회 2~3정씩, 1일 3회 식사 후 물과 함께 복용합니다.
","15세 미만의 소아는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 다른 항히스타민제, 멀미약, 감기약, 진해거담제에 과민증 환자, 임부 또는 임신하고 있을 가능성이 있는 여성, 전립선비대증 등 배뇨 장애 환자, 녹내장, 심장질환 경험자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.
","멀미약, 감기약, 해열진통제, 진정제, 진해거담제, 항히스타민제 성분의 내복약(비염 또는 알레르기용 약)과 함께 복용하지 마십시오.
","발진, 발적, 가려움, 배뇨곤란, 혈압상승, 입마름, 변비, 설사, 드물게 재생불량성 빈혈 증상(파란멍, 코피, 잇몸출혈, 발열, 피부와 점막이 창백해짐, 피로감, 가슴의 두근거림, 호흡곤란, 빈혈, 혈뇨), 무과립구증 증상(갑작스런 고열, 오한, 인후통) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
스코싱글액(고농도과아세트산평형혼합물),(주)휴온스메디텍,"이 약은 의료기구의 화학적 멸균 및 살균소독에 사용합니다.
","본 제품의 소독액 조제는 1제(100 mL)와 2제 (100 mL) 및 물(7,800 mL)의 비율로 혼합하여 사용합니다.

미리, 물로 세척한 의료기구를 조제된 소독액에 완전히 적시고, 미세 구멍이 있거나 구조가 복잡한 기구 및 기계류는 가압주입 또는 흡인시켜 충분히 조제 된 소독액과 적십니다.

5분 이상 충분히 담근 후 꺼내 흐르는 멸균정제수로 15초 이상, 사용목적에 따라 물을 사용해서 헹굽니다.

미세 구멍이 있는 기구류나 구조가 복잡한 기구류는 안쪽 소독액이 잔류하기 쉬우므로 멸균정제수 또는 물을 가압주입하거나 헹굼 시간을 늘려 충분히 헹굽니다.
","피부에 닿았을 경우 즉시 오염된 의복 등을 벗고, 흐르는 물로 충분히 씻어 내십시오.

눈에 들어갔을 경우 즉시 흐르는 물로 15분간 이상 세안 후 의사와 상담하십시오.

증기를 흡입하였을 경우 즉시 신선한 공기가 있는 장소로 이동 후 의사와 상담하십시오.

잘못하여 먹었을 경우 즉시 다량의 물이나 우유를 마시게 한 후 무리하게 구토를 시키지 말고 의사와 상담하십시오.

제1제를 취급 시 보호안경, 마스크 등의 보호장구를 착용하고, 흡입 또는 접촉하지 않도록 주의하십시오.

제1제 및 소독액을 다룰 때에는 항상 환기에 주의하십시오.

기구 및 기계에 따라서는 녹이 슬거나, 변성이 될 수 있으므로 연속 1시간을 초과하여 사용하지 마십시오.
","차아염소산염등의 염소계제제와 함께 사용하지 마십시오.
",,"빛을 피해 실온에서 보관하십시오.

제1제는 아세트산류의 강한 자극성 냄새가 있으므로 환기시설이 있는 곳에서 보관하십시오.
"
메디알정500mg(알마게이트),에스피씨(주),"이 약은 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림의 제산작용 및 증상의 개선에 사용합니다.
","성인 및 12세 이상의 소아는 1회 2정(1 g)을 1일 3회 식후 30분~1시간에 씹어서 복용합니다.

필요시 취침 전에 1회 더 복용할 수 있습니다.
","이 약에 과민증 환자, 알츠하이머병, 치질, 체액저류(부기), 임신중독증, 설사, 진단되지 않은 소화기관출혈 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 신장애, 신체 허약자, 인 함량이 낮은 식이요법 실시자, 소화흡수장애가 있는 사람, 고령자, 혈액구토 또는 흑색대변 등과 같은 소화기관출혈 증상이 있는 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상담하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

2주정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","이 약을 복용하는 동안 테트라사이클린계 항생제는 복용하지 마십시오.

이 약을 복용하기 전에 비스테로이드소염(항염)진통제, 궤양치료제, 디기탈리스 제제, 클로르프로마진, 란소프라졸, 프레드니솔론, 페니실린, 퀴놀론, 철(Fe)염 제제, 살리실산염을 복용하는 환자는 의사 또는 약사와 상의하십시오.
","변비, 설사 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
슬리마정(수출용),(주)아이월드제약,이 약은 음식물 섭취 감소를 통한 체중감량의 보조요법으로 사용합니다.,"1회 2정씩, 1일 3회 식전에 복용하고 필요에 따라서는 취침전에 추가로 2정 복용 가능합니다.충분한 양의 물과 함께 복용하는 것이 좋습니다.권장량을 최소 3~4주간 복용할 것이 권장됩니다.","이 약에 과민증 환자, 유소아는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 및 수유부, 소화기장애 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.1개월 이상 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","다른 약과 동시에 복용하지 않는 것이 좋으며, 복용할 경우 30분~1시간의 간격을 두고 복용하는 것이 권장됩니다.","복부 팽만감, 구역, 변비 또는 설사 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
제일빅파프카타플라스마(플루르비프로펜),제일헬스사이언스(주),"이 약은 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창ㆍ동통의 진통ㆍ소염에 사용합니다.
","1일 2회 약면의 박리지를 떼어내 환부에 붙입니다.

적용부위의 땀을 닦아낸 후 사용하십시오.
","이 약에 과민증 경험자, 아스피린 천식(비스테로이드성 소염진통제 등에 의한 천식발작) 또는 경험자, 손상된 피부와 점막, 습진, 발진 부위에는 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 기관지 천식, 프로필렌글리콜에 과민증 또는 경험자, 임부, 소아, 고령자, 아황산 감수성 환자는 의사 또는 약사와 상의하십시오.
",,"때때로 발적, 발진, 약진, 가려움 및 작열감, 접촉피부염, 천신발작(건성수포음(거품소리), 천명(숨을 쌕쌕거림), 호흡곤란 등)이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","빛을 피해 실온에서 보관하십시오.
"
